[2026-04-12 18:48:25] [INFO    ] discord.client: logging in using static token
[2026-04-12 18:48:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'animeHubBot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1490471253629341696', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '3190', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '2281559940b537bccf85d69d14e85cd5', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1490675278522089553'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['madrid', 'paris', 'milan', 'london', 'brussels'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1490471253629341696', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-p58p",{"micros":147790,"calls":["id_created",{"micros":1452,"calls":[]},"session_lookup_time",{"micros":8182,"calls":[]},"session_lookup_finished",{"micros":14,"calls":[]},"sessions-prd-gcp-us-east1-b-161",{"micros":137452,"calls":["start_session",{"micros":110741,"calls":["prd-rpc-694dc6785c-gctmz",{"micros":55159,"calls":["get_user",{"micros":6529},"get_guilds",{"micros":9634},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":6443},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":1302},"apex_experiments",{"micros":46229},"sessions_experiments",{"micros":5},"played_application_ids",{"micros":2},"linked_users",{"micros":4},"ad_personalization_toggles_disabled",{"micros":2},"regional_feature_config",{"micros":1}]}]},"starting_guild_connect",{"micros":35,"calls":[]},"presence_started",{"micros":9337,"calls":[]},"guilds_started",{"micros":103,"calls":[]},"lobbies_started",{"micros":2,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":17198,"calls":[]},"connect_finished",{"micros":17213,"calls":[]},"build_ready",{"micros":16,"calls":[]},"clean_ready",{"micros":3,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2026-04-12 18:48:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-12 18:48:26] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 2281559940b537bccf85d69d14e85cd5).
[2026-04-12 18:48:26] [DEBUG   ] discord.client: Dispatching event connect
[2026-04-12 18:48:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'default_message_notifications': 0, 'large': False, 'splash': None, 'profile': None, 'member_count': 2, 'incidents_data': None, 'premium_tier': 0, 'system_channel_id': '1490675278522089556', 'game_application_ids': None, 'safety_alerts_channel_id': None, 'max_video_channel_users': 25, 'id': '1490675278522089553', 'max_stage_video_channel_users': 50, 'presences': [], 'afk_channel_id': None, 'emojis': [], 'name': 'Pruebas bot animeHub', 'discovery_splash': None, 'icon': None, 'public_updates_channel_id': None, 'hub_type': None, 'threads': [], 'home_header': None, 'lazy': True, 'unavailable': False, 'region': 'deprecated', 'vanity_url_code': None, 'roles': [{'version': 1775475081889, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1490675278522089553', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1775475101329, 'unicode_emoji': None, 'tags': {'bot_id': '1490471253629341696'}, 'position': 1, 'permissions': '563242280021056', 'name': 'animeHubBot', 'mentionable': False, 'managed': True, 'id': '1490675360323342438', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'mfa_level': 0, 'inventory_settings': None, 'application_id': None, 'description': None, 'features': [], 'verification_level': 0, 'moderator_reporting': None, 'experiments': {'evaluation_id': None, 'assignments': []}, 'rules_channel_id': None, 'premium_progress_bar_enabled_user_updated_at': None, 'nsfw_level': 0, 'activity_instances': [], 'guild_scheduled_events': [], 'owner_id': '1231219734855422074', 'max_members': 25000000, 'members': [{'user': {'username': 'animeHubBot', 'public_flags': 0, 'primary_guild': None, 'id': '1490471253629341696', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3190', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1490675360323342438'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-06T11:31:41.347000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'stickers': [], 'embedded_activities': [], 'premium_progress_bar_enabled': False, 'banner': None, 'premium_subscription_count': 0, 'explicit_content_filter': 0, 'preferred_locale': 'en-US', 'nsfw': False, 'premium_features': None, 'voice_states': [], 'joined_at': '2026-04-06T11:31:41.347000+00:00', 'system_channel_flags': 0, 'version': 1775475081967, 'soundboard_sounds': [], 'channels': [{'version': 1775475081893, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Canales de texto', 'id': '1490675278522089554', 'flags': 0}, {'version': 1775475081896, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Canales de voz', 'id': '1490675278522089555', 'flags': 0}, {'version': 1775475081905, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1490675278522089554', 'name': 'general', 'last_message_id': '1490675360910807150', 'id': '1490675278522089556', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1775475081962, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1490675278522089555', 'name': 'General', 'last_message_id': None, 'id': '1490675278953844736', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'owner_configured_content_level': 0, 'afk_timeout': 300, 'application_command_counts': {}, 'stage_instances': [], 'latest_onboarding_question_id': None}}
[2026-04-12 18:48:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-12 18:48:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '74564233d17ee764caee0746f9d85edf', 'members': [{'user': {'username': 'wabung', 'public_flags': 0, 'primary_guild': None, 'id': '1231219734855422074', 'global_name': 'wabung', 'display_name_styles': None, 'display_name': 'wabung', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '2d24c5bd5edbd712f78f537eec66c2e8'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-06T11:31:21.815000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'animeHubBot', 'public_flags': 0, 'primary_guild': None, 'id': '1490471253629341696', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3190', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1490675360323342438'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-06T11:31:41.347000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1490675278522089553', 'chunk_index': 0, 'chunk_count': 1}}
[2026-04-12 18:48:27] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-12 18:48:27] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1490675278522089553.
[2026-04-12 18:48:29] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-04-12 18:48:29] [DEBUG   ] discord.client: Dispatching event ready
[2026-04-12 18:49:07] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2026-04-12 18:49:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-12 18:49:49] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2026-04-12 18:49:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-12 18:50:30] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2026-04-12 18:50:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-12 18:51:11] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2026-04-12 18:51:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-12 18:51:53] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2026-04-12 18:51:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-12 18:52:34] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2026-04-12 18:52:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-12 18:53:15] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2026-04-12 18:53:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-12 18:53:56] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2026-04-12 18:53:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-12 18:54:38] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2026-04-12 18:54:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-12 18:55:19] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2026-04-12 18:55:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
